Borough,Construction Permits(m²),Construction Completed(m²),Borough Id
Altstadt - Lehel,3218.0,3270.6,1
Ludwigsvorstadt - Isarvorstadt,10544.4,10328.4,2
Maxvorstadt,9835.8,10561.0,3
Schwabing - West,16560.0,20227.6,4
Au - Haidhausen,16107.8,9671.2,5
Sendling,12259.4,9041.0,6
Sendling - Westpark,26756.2,29594.2,7
Schwanthalerhöhe,984.4,1597.4,8
Neuhausen - Nymphenburg,24498.0,24588.0,9
Moosach,17593.4,17586.2,10
Milbertshofen - Am Hart,21467.4,17662.4,11
Schwabing - Freimann,44284.4,40406.0,12
Bogenhausen,50913.6,37418.2,13
Berg am Laim,19651.2,12499.6,14
Trudering - Riem,40175.0,43976.8,15
Ramersdorf - Perlach,59829.4,37472.8,16
Obergiesing - Fasangarten,20405.8,20379.0,17
Untergiesing - Harlaching,12695.8,11894.0,18
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,49179.0,42626.2,19
Hadern,17341.6,16516.0,20
Pasing - Obermenzing,51193.2,38113.0,21
Aubing - Lochhausen - Langwied,34561.4,29822.0,22
Allach - Untermenzing,19054.6,14938.8,23
Feldmoching - Hasenbergl,21072.6,21156.4,24
Laim,10262.4,8691.4,25
