STADTTEIL,€/m²
Allach,"16,45 €"
Altstadt,"24,25 €"
Am Hart,"17,02 €"
Au,"21,54 €"
Aubing,"17,19 €"
Berg am Laim,"18,47 €"
Bogenhausen,"20,74 €"
Feldmoching,"18,01 €"
Forstenried,"17,07 €"
Freimann,"19,41 €"
Fürstenried,"16,09 €"
Hadern,"17,12 €"
Haidhausen,"22,19 €"
Harlaching,"18,80 €"
Hasenbergl,"18,43 €"
Laim,"18,76 €"
Lehel,"23,93 €"
Lochhausen,"16,48 €"
Ludwigsvorstadt-Isarvorstadt,"24,16 €"
Maxvorstadt,"24,44 €"
Milbertshofen,"21,58 €"
Moosach,"18,60 €"
Neuhausen,"21,27 €"
Nymphenburg,"19,47 €"
Obergiesing,"18,01 €"
Obermenzing,"18,04 €"
Obersendling,"19,77 €"
Pasing,"19,64 €"
Perlach,"17,25 €"
Ramersdorf,"20,02 €"
Riem,"24,58 €"
Schwabing,"23,72 €"
Schwabing-West,"24,55 €"
Schwanthalerhöhe,"20,14 €"
Sendling,"19,44 €"
Sendling-Westpark,"18,11 €"
Solln,"17,92 €"
Thalkirchen,"22,04 €"
Trudering,"17,75 €"
Untergiesing,"18,70 €"
Untermenzing,"16,48 €"
